gamma_chunk_id,n_combos,gamma_combo_ids
0,5,gamma_default gamma_05_b1em1_r1em1_l1_o1em2 gamma_10_b1_r1em1_l1em3_o0 gamma_15_b1_r0_l1em1_o1 gamma_20_b1_r1em2_l1em1_o1em3
1,5,gamma_01_b1_r1em1_l1_o1em1 gamma_06_b1em3_r1em2_l1_o1em1 gamma_11_b1em1_r1em1_l1em2_o1em3 gamma_16_b1em1_r1_l1em3_o0 gamma_21_b1_r1em3_l1em3_o1em2
2,5,gamma_02_b1em3_r1em3_l1em2_o1em2 gamma_07_b1em1_r0_l1em1_o1em2 gamma_12_b1em2_r1em1_l1em2_o0 gamma_17_b1_r1em3_l1_o1em3 gamma_22_b1em1_r1em3_l0_o1em3
3,5,gamma_03_b1_r1em2_l1em2_o1em1 gamma_08_b1em1_r1em3_l1em2_o1em1 gamma_13_b1_r1em3_l1_o1em2 gamma_18_b1em3_r1em2_l1em2_o1em2 gamma_23_b1em2_r1em3_l1em2_o1em3
4,5,gamma_04_b1em1_r1em1_l1em1_o1 gamma_09_b0_r1em3_l0_o1em2 gamma_14_b1em3_r1em1_l1_o1em1 gamma_19_b1em2_r1em2_l0_o1 gamma_24_b1_r0_l0_o1em3
